infinitive,English Translation,Irregular,present 1p-s,present 2p-s,present 3p-s,present 1p-p,present 2p-p,present 3p-p,past perfect 1p-s,past perfect 2p-s,past perfect 3p-s,past perfect 1p-p,past perfect 2p-p,past perfect 3p-p,imperfect 1p-s,imperfect 2p-s,imperfect 3p-s,imperfect 1p-p,imperfect 2p-p,imperfect 3p-p,simple future 1p-s,simple future 2p-s,simple future 3p-s,simple future 1p-p,simple future 2p-p,simple future 3p-p,conditional 1p-s,conditional 2p-s,conditional 3p-s,conditional 1p-p,conditional 2p-p,pluperfect 1p-s,pluperfect 2p-s,pluperfect 3p-s,pluperfect 1p-p,pluperfect 2p-p,pluperfect 3p-p,conditional 3p-p,subjunctive 1p-s,subjunctive 2p-s,subjunctive 3p-s,subjunctive 1p-p,subjunctive 2p-p,subjunctive 3p-p,past conditional 1p-s,past conditional 2p-s,past conditional 3p-s,past conditional 1p-p,past conditional 2p-p,past conditional 3p-p,future perfect 1p-s,future perfect 2p-s,future perfect 3p-s,future perfect 1p-p,future perfect 2p-p,future perfect 3p-p,imperative 1p-s,imperative 2p-s,imperative 3p-s,imperative 1p-p,imperative 2p-p,imperative 3p-p,past subjunctive 1p-s,past subjunctive 2p-s,past subjunctive 3p-s,past subjunctive 1p-p,past subjunctive 2p-p,past subjunctive 3p-p,imperfect subjunctive 1p-s,imperfect subjunctive 2p-s,imperfect subjunctive 3p-s,imperfect subjunctive 1p-p,imperfect subjunctive 2p-p,imperfect subjunctive 3p-p,pluperfect subjunctive 1p-s,pluperfect subjunctive 2p-s,pluperfect subjunctive 3p-s,pluperfect subjunctive 1p-p,pluperfect subjunctive 2p-p,pluperfect subjunctive 3p-p,past imperative 1p-s,past imperative 2p-s,past imperative 3p-s,past imperative 1p-p,past imperative 2p-p,past imperative 3p-p,past anterior 1p-s,past anterior 2p-s,past anterior 3p-s,past anterior 1p-p,past anterior 2p-p,past anterior 3p-p,simple past 1p-s,simple past 2p-s,simple past 3p-s,simple past 1p-p,simple past 2p-p,simple past 3p-p,gerund
abasourdir,to daze/bewilder,FALSE,abasourdis,abasourdis,abasourdit,abasourdissons,abasourdissez,abasourdissent,ai abasourdi,as abasourdi,a abasourdi,avons abasourdi,avez abasourdi,ont abasourdi,abasourdissais,abasourdissais,abasourdissait,abasourdissions,abasourdissiez,abasourdissaient,abasourdirai,abasourdiras,abasourdira,abasourdirons,abasourdirez,abasourdiront,abasourdirais,abasourdirais,abasourdirait,abasourdirions,abasourdiriez,avais abasourdi,avais abasourdi,avait abasourdi,avions abasourdi,aviez abasourdi,avaient abasourdi,abasourdiraient,abasourdisse,abasourdisses,abasourdisse,abasourdissions,abasourdissiez,abasourdissent,aurais abasourdi,aurais abasourdi,aurait abasourdi,aurions abasourdi,auriez abasourdi,auraient abasourdi,aurai abasourdi,auras abasourdi,aura abasourdi,aurons abasourdi,aurez abasourdi,auront abasourdi,N/A,abasourdis,N/A,abasourdissons,abasourdissez,N/A,aie abasourdi,aies abasourdi,ait abasourdi,ayons abasourdi,ayez abasourdi,aient abasourdi,abasourdisse,abasourdisses,abasourdît,abasourdissions,abasourdissiez,abasourdissent,eusse abasourdi,eusses abasourdi,eût abasourdi,eussions abasourdi,eussiez abasourdi,eussent abasourdi,N/A,aie abasourdi,N/A,ayons abasourdi,ayez abasourdi,N/A,eus abasourdi,eus abasourdi,eut abasourdi,eûmes abasourdi,eûtes abasourdi,eurent abasourdi,abasourdis,abasourdis,abasourdit,abasourdîmes,abasourdîtes,abasourdirent,abasourdissant
agir,to act,FALSE,agis,agis,agit,agissons,agissez,agissent,ai agi,as agi,a agi,avons agi,avez agi,ont agi,agissais,agissais,agissait,agissions,agissiez,agissaient,agirai,agiras,agira,agirons,agirez,agiront,agirais,agirais,agirait,agirions,agiriez,avais agi,avais agi,avait agi,avions agi,aviez agi,avaient agi,agiraient,agisse,agisses,agisse,agissions,agissiez,agissent,aurais agi,aurais agi,aurait agi,aurions agi,auriez agi,auraient agi,aurai agi,auras agi,aura agi,aurons agi,aurez agi,auront agi,N/A,agis,N/A,agissons,agissez,N/A,aie agi,aies agi,ait agi,ayons agi,ayez agi,aient agi,agisse,agisses,agît,agissions,agissiez,agissent,eusse agi,eusses agi,eût agi,eussions agi,eussiez agi,eussent agi,N/A,aie agi,N/A,ayons agi,ayez agi,N/A,eus agi,eus agi,eut agi,eûmes agi,eûtes agi,eurent agi,agis,agis,agit,agîmes,agîtes,agirent,agissant
agacer,to annoy,FALSE,agace,agaces,agace,agaçons,agacez,agacent,ai agacé,as agacé,a agacé,avons agacé,avez agacé,ont agacé,agaçais,agaçais,agaçait,agacions,agaciez,agaçaient,agacerai,agaceras,agacera,agacerons,agacerez,agaceront,agacerais,agacerais,agacerait,agacerions,agaceriez,avais agacé,avais agacé,avait agacé,avions agacé,aviez agacé,avaient agacé,agaceraient,agace,agaces,agace,agacions,agaciez,agacent,aurais agacé,aurais agacé,aurait agacé,aurions agacé,auriez agacé,auraient agacé,aurai agacé,auras agacé,aura agacé,aurons agacé,aurez agacé,auront agacé,N/A,agace,N/A,agaçons,agacez,N/A,aie agacé,aies agacé,ait agacé,ayons agacé,ayez agacé,aient agacé,agaçasse,agaçasses,agaçât,agaçassions,agaçassiez,agaçassent,eusse agacé,eusses agacé,eût agacé,eussions agacé,eussiez agacé,eussent agacé,N/A,aie agacé,N/A,ayons agacé,ayez agacé,N/A,eus agacé,eus agacé,eut agacé,eûmes agacé,eûtes agacé,eurent agacé,agaçai,agaças,agaça,agaçâmes,agaçâtes,agacèrent,agaçant
accompagner,to accompany,FALSE,accompagne,accompagnes,accompagne,accompagnons,accompagnez,accompagnent,ai accompagné,as accompagné,a accompagné,avons accompagné,avez accompagné,ont accompagné,accompagnais,accompagnais,accompagnait,accompagnions,accompagniez,accompagnaient,accompagnerai,accompagneras,accompagnera,accompagnerons,accompagnerez,accompagneront,accompagnerais,accompagnerais,accompagnerait,accompagnerions,accompagneriez,avais accompagné,avais accompagné,avait accompagné,avions accompagné,aviez accompagné,avaient accompagné,accompagneraient,accompagne,accompagnes,accompagne,accompagnions,accompagniez,accompagnent,aurais accompagné,aurais accompagné,aurait accompagné,aurions accompagné,auriez accompagné,auraient accompagné,aurai accompagné,auras accompagné,aura accompagné,aurons accompagné,aurez accompagné,auront accompagné,N/A,accompagne,N/A,accompagnons,accompagnez,N/A,aie accompagné,aies accompagné,ait accompagné,ayons accompagné,ayez accompagné,aient accompagné,accompagnasse,accompagnasses,accompagnât,accompagnassions,accompagnassiez,accompagnassent,eusse accompagné,eusses accompagné,eût accompagné,eussions accompagné,eussiez accompagné,eussent accompagné,N/A,aie accompagné,N/A,ayons accompagné,ayez accompagné,N/A,eus accompagné,eus accompagné,eut accompagné,eûmes accompagné,eûtes accompagné,eurent accompagné,accompagnai,accompagnas,accompagna,accompagnâmes,accompagnâtes,accompagnèrent,accompagnant
adorer,to adore,FALSE,adore,adores,adore,adorons,adorez,adorent,ai adoré,as adoré,a adoré,avons adoré,avez adoré,ont adoré,adorais,adorais,adorait,adorions,adoriez,adoraient,adorerai,adoreras,adorera,adorerons,adorerez,adoreront,adorerais,adorerais,adorerait,adorerions,adoreriez,avais adoré,avais adoré,avait adoré,avions adoré,aviez adoré,avaient adoré,adoreraient,adore,adores,adore,adorions,adoriez,adorent,aurais adoré,aurais adoré,aurait adoré,aurions adoré,auriez adoré,auraient adoré,aurai adoré,auras adoré,aura adoré,aurons adoré,aurez adoré,auront adoré,N/A,adore,N/A,adorons,adorez,N/A,aie adoré,aies adoré,ait adoré,ayons adoré,ayez adoré,aient adoré,adorasse,adorasses,adorât,adorassions,adorassiez,adorassent,eusse adoré,eusses adoré,eût adoré,eussions adoré,eussiez adoré,eussent adoré,N/A,aie adoré,N/A,ayons adoré,ayez adoré,N/A,eus adoré,eus adoré,eut adoré,eûmes adoré,eûtes adoré,eurent adoré,adorai,adoras,adora,adorâmes,adorâtes,adorèrent,adorant
ajouter,to add,FALSE,ajoute,ajoutes,ajoute,ajoutons,ajoutez,ajoutent,ai ajouté,as ajouté,a ajouté,avons ajouté,avez ajouté,ont ajouté,ajoutais,ajoutais,ajoutait,ajoutions,ajoutiez,ajoutaient,ajouterai,ajouteras,ajoutera,ajouterons,ajouterez,ajouteront,ajouterais,ajouterais,ajouterait,ajouterions,ajouteriez,avais ajouté,avais ajouté,avait ajouté,avions ajouté,aviez ajouté,avaient ajouté,ajouteraient,ajoute,ajoutes,ajoute,ajoutions,ajoutiez,ajoutent,aurais ajouté,aurais ajouté,aurait ajouté,aurions ajouté,auriez ajouté,auraient ajouté,aurai ajouté,auras ajouté,aura ajouté,aurons ajouté,aurez ajouté,auront ajouté,N/A,ajoute,N/A,ajoutons,ajoutez,N/A,aie ajouté,aies ajouté,ait ajouté,ayons ajouté,ayez ajouté,aient ajouté,ajoutasse,ajoutasses,ajoutât,ajoutassions,ajoutassiez,ajoutassent,eusse ajouté,eusses ajouté,eût ajouté,eussions ajouté,eussiez ajouté,eussent ajouté,N/A,aie ajouté,N/A,ayons ajouté,ayez ajouté,N/A,eus ajouté,eus ajouté,eut ajouté,eûmes ajouté,eûtes ajouté,eurent ajouté,ajoutai,ajoutas,ajouta,ajoutâmes,ajoutâtes,ajoutèrent,ajoutant
abstenir,to abstain,TRUE,abstiens,abstiens,abstient,abstenons,abstenez,abstiennent,ai abstenu,as abstenu,a abstenu,avons abstenu,avez abstenu,ont abstenu,abstenais,abstenais,abstenait,abstenions,absteniez,abstenaient,abstiendrai,abstiendras,abstiendra,abstiendrons,abstiendrez,abstiendront,abstiendrais,abstiendrais,abstiendrait,abstiendrions,abstiendriez,avais abstenu,avais abstenu,avait abstenu,avions abstenu,aviez abstenu,avaient abstenu,abstiendraient,abstienne,abstiennes,abstienne,abstenions,absteniez,abstiennent,aurais abstenu,aurais abstenu,aurait abstenu,aurions abstenu,auriez abstenu,auraient abstenu,aurai abstenu,auras abstenu,aura abstenu,aurons abstenu,aurez abstenu,auront abstenu,N/A,abstiens,N/A,abstenons,abstenez,N/A,aie abstenu,aies abstenu,ait abstenu,ayons abstenu,ayez abstenu,aient abstenu,abstinsse,abstinsses,abstînt,abstinssions,abstinssiez,abstinssent,eusse abstenu,eusses abstenu,eût abstenu,eussions abstenu,eussiez abstenu,eussent abstenu,N/A,aie abstenu,N/A,ayons abstenu,ayez abstenu,N/A,eus abstenu,eus abstenu,eut abstenu,eûmes abstenu,eûtes abstenu,eurent abstenu,abstins,abstins,abstint,abstînmes,abstîntes,abstinrent,abstenant
adresser,to address,FALSE,adresse,adresses,adresse,adressons,adressez,adressent,ai adressé,as adressé,a adressé,avons adressé,avez adressé,ont adressé,adressais,adressais,adressait,adressions,adressiez,adressaient,adresserai,adresseras,adressera,adresserons,adresserez,adresseront,adresserais,adresserais,adresserait,adresserions,adresseriez,avais adressé,avais adressé,avait adressé,avions adressé,aviez adressé,avaient adressé,adresseraient,adresse,adresses,adresse,adressions,adressiez,adressent,aurais adressé,aurais adressé,aurait adressé,aurions adressé,auriez adressé,auraient adressé,aurai adressé,auras adressé,aura adressé,aurons adressé,aurez adressé,auront adressé,N/A,adresse,N/A,adressons,adressez,N/A,aie adressé,aies adressé,ait adressé,ayons adressé,ayez adressé,aient adressé,adressasse,adressasses,adressât,adressassions,adressassiez,adressassent,eusse adressé,eusses adressé,eût adressé,eussions adressé,eussiez adressé,eussent adressé,N/A,aie adressé,N/A,ayons adressé,ayez adressé,N/A,eus adressé,eus adressé,eut adressé,eûmes adressé,eûtes adressé,eurent adressé,adressai,adressas,adressa,adressâmes,adressâtes,adressèrent,adressant
achever,to achieve,FALSE,achève,achèves,achève,achevons,achevez,achèvent,ai achevé,as achevé,a achevé,avons achevé,avez achevé,ont achevé,achevais,achevais,achevait,achevions,acheviez,achevaient,achèverai,achèveras,achèvera,achèverons,achèverez,achèveront,achèverais,achèverais,achèverait,achèverions,achèveriez,avais achevé,avais achevé,avait achevé,avions achevé,aviez achevé,avaient achevé,achèveraient,achève,achèves,achève,achevions,acheviez,achèvent,aurais achevé,aurais achevé,aurait achevé,aurions achevé,auriez achevé,auraient achevé,aurai achevé,auras achevé,aura achevé,aurons achevé,aurez achevé,auront achevé,N/A,achève,N/A,achevons,achevez,N/A,aie achevé,aies achevé,ait achevé,ayons achevé,ayez achevé,aient achevé,achevasse,achevasses,achevât,achevassions,achevassiez,achevassent,eusse achevé,eusses achevé,eût achevé,eussions achevé,eussiez achevé,eussent achevé,N/A,aie achevé,N/A,ayons achevé,ayez achevé,N/A,eus achevé,eus achevé,eut achevé,eûmes achevé,eûtes achevé,eurent achevé,achevai,achevas,acheva,achevâmes,achevâtes,achevèrent,achevant
abolir,to abolish,FALSE,abolis,abolis,abolit,abolissons,abolissez,abolissent,ai aboli,as aboli,a aboli,avons aboli,avez aboli,ont aboli,abolissais,abolissais,abolissait,abolissions,abolissiez,abolissaient,abolirai,aboliras,abolira,abolirons,abolirez,aboliront,abolirais,abolirais,abolirait,abolirions,aboliriez,avais aboli,avais aboli,avait aboli,avions aboli,aviez aboli,avaient aboli,aboliraient,abolisse,abolisses,abolisse,abolissions,abolissiez,abolissent,aurais aboli,aurais aboli,aurait aboli,aurions aboli,auriez aboli,auraient aboli,aurai aboli,auras aboli,aura aboli,aurons aboli,aurez aboli,auront aboli,N/A,abolis,N/A,abolissons,abolissez,N/A,aie aboli,aies aboli,ait aboli,ayons aboli,ayez aboli,aient aboli,abolisse,abolisses,abolît,abolissions,abolissiez,abolissent,eusse aboli,eusses aboli,eût aboli,eussions aboli,eussiez aboli,eussent aboli,N/A,aie aboli,N/A,ayons aboli,ayez aboli,N/A,eus aboli,eus aboli,eut aboli,eûmes aboli,eûtes aboli,eurent aboli,abolis,abolis,abolit,abolîmes,abolîtes,abolirent,abolissant
