setName,headerName,vocabList
Connectives,Fundamentals,according to+also+and+because+because of+but+even if+finally+first of all+however+if+in order to+or+perhaps+since+so+then+therefore+thus
Common expressions,Conversation,as/like+end+everybody+except+figure (number)+for example+Miss+Mr (also Sir)+Mrs (also Madam)+number+number (e.g. phone number)+someone+something+that+thing+time (occasion)+type (kind of)+way (manner)+with+without+all the better+good luck+here is/here are+how do you spell that?+I don’t know+I don’t mind+I don’t understand+I’m fine/it’s OK+I’ve had enough+I like it+in my opinion+it annoys me+it depends+it doesn’t matter+it’s all the same to me+it makes me laugh+it’s not worth it+it is forbidden to+it is necessary+personally+of course+okay (in agreement)+once again+so so+so much the better+that doesn’t interest/appeal to me+that’s enough+there is/there are+there you are+to be about to+to be in the process of+too bad/what a shame+what does that mean?+with pleasure
Social conventions,Conversation,best wishes+don’t mention it+enjoy yourself/yourselves!+good evening+goodbye+goodnight+have a good journey+have a good day+have a good evening+hello (on the telephone)+hello/good morning+help!+hi+Pardon?+It’s a pleasure+appointment/meeting+meet you at 6 o’clock+no thank you+of course+please (polite)+please (informal)+see you later+see you soon+see you on Friday+see you tomorrow+sorry+excuse me/I'm sorry+thank you very much
Dialogues and messages,Conversation,address+area code+call me (formal)+dial the number+email+for the attention of+further to/following+I will put you through+I’ll be right back+I’m listening+message+mobile phone+moment+online+on the line/speaking+please repeat that (formal)+postcode+sent by+stay on the line+telephone+text message+tone/beep+voice mail+wait (formal)+wrong number
Numbers,Number,1+2+3+4+5+6+7+8+9+10+11+12+13+14+15+16+17+18+19+20+21+22+23+24+25+26+27+28+29+30+31+32+40+50+60+70+71+72+73+74+75+76+77+78+79+80+81+82+90+91+92+100+101+120+200+1000+1100+2000+1 000 000+2 000 000
Ordinal numbers,Number,first+second+third+fourth+fifth+sixth+seventh+eighth+nineth+tenth+eleventh+twelfth+thirteenth+fourteenth+fifteenth+sixteenth+seventeenth+eighteenth+nineteenth+twentieth+twenty-first+twenty-second+twenty-third+twenty-fourth+thirtieth+fortieth+fiftieth+sixtieth+seventieth+eightieth+ninetieth+hundredth+thousandth+millionth+billionth
Quantities and measures,Number,a bottle of+about twenty+about a hundred+a dozen+a jar of+a little of/few+a litre of+a lot of/many+a kilo of+gram+centilitre+centimetre+metre+kilometre+less+more+some more+a packet of+a piece/a lump of+a slice of+a tin/box of+enough+half+a lot of/many+quantity+quarter+quite a few+several+some+third+too much/too many+weight
Time expressions,Calendar,after+afternoon+already+always+as soon as+at the start+at the same time+before+day+day (a whole day)+during/for+early+evening+evening (a whole evening)+every day+fortnight+from+from time to time+hour+just now/in a little while+immediately+later+last night (yesterday evening)+last night (during the night)+midday+midnight+minute+morning+morning (the whole morning)+night+now+once+on time+since+soon+the day after tomorrow+the day before yesterday+the next day/following day+the night before/eve+time+today+tomorrow+twice+week+weekend
Times of day,Calendar,at 1 a.m.+1 p.m.+nine o’clock in the evening+13:00+at exactly 2 o’clock+at about 3 o’clock+it is five past three+five to three+half past ten+ten past four+ten to four+quarter to six+quarter past seven
Days of the week,Calendar,Monday+Tuesday+Wednesday+Thursday+Friday+Saturday+Sunday+on Monday morning+on Monday evening+on Mondays+every Monday
Months and seasons of the year,Calendar,month+January+February+March+April+May+June+July+August+September+October+November+December+season+in autumn+in spring+in summer+in winter
Countries and Continents,Location,Algeria+Austria+Belgium+Canada+China+Denmark+England+France+Germany+Great Britain+Greece+Holland+India+Ireland+Italy+Netherlands+Pakistan+Russia+Scotland+Senegal+Spain+Switzerland+Tunisia+Turkey+United Kingdom+United States+Wales+Africa+Asia+Australia+Europe+North America+South America
Areas/ mountains and seas,Location,administrative area of France+Atlantic ocean+Massif Central+province+region+the Alps+the Channel Tunnel+the English Channel+the Mediterranean sea+the Pyrenees+the south of France+north+south+east+west
